"4671","Theri","2016","N/A","15 Apr 2016","157 min","Action, Drama, Thriller","Atlee Kumar","Atlee Kumar (story and screenplay), Ramanagirivasan (dialogue), Atlee Kumar (dialogue)","Joseph Vijay, Samantha Ruth Prabhu, Amy Jackson, Baby Nainika","When his daughter's life is endangered by a local gang, Joseph Kuruvilla will do whatever it takes to stop them. However, at the same time, his dangerous past slowly resurfaces.","Tamil","India","N/A","https://images-na.ssl-images-amazon.com/images/M/MV5BNzYyZWMzNmUtYzViZC00ZDEyLWEyZjMtMTc2MzNkODM0MzhjXkEyXkFqcGdeQXVyNjY0ODQxMjE@._V1_SX300.jpg","N/A","7.2","6,315","tt5440700","movie","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","True"
"4672","Dr. Cheapskate","2016","N/A","N/A","87 min","Comedy","Jason Ancona","Jason Ancona","Ray Rosales, Scott Dean, Andrew Key, Robin Hines","An isolated doctor, burned by his gold-digger ex-wife, takes penny pinching to the extreme until his friends force him out of his shell and to get back in the dating game.","English","USA","N/A","http://ia.media-imdb.com/images/M/MV5BMjQwNjIxNjEwOV5BMl5BanBnXkFtZTgwMzE3MjQ1NzE@._V1_SX300.jpg","N/A","N/A","N/A","tt5269986","movie","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","1","http://www.rottentomatoes.com/m/dr_cheapskate","N/A","N/A","N/A","N/A","True"
"4673","Bodyguard","2016","N/A","11 Feb 2016","109 min","Action, Drama, Thriller","Ebrahim Hatamikia","Ebrahim Hatamikia","Parviz Parastui, Merila Zare'i, Babak Hamidian, Amir Aghaee","A government bodyguard protects a politician from a suicide bomber, and then begins to question his dedication to his job.","Persian","Iran","1 win & 2 nominations.","https://images-na.ssl-images-amazon.com/images/M/MV5BYWJhMzQzYTItNjYyNS00ZjkxLWJkYmUtZjY4NjA2MmE2MDIzXkEyXkFqcGdeQXVyMjk4Nzc1NTQ@._V1_SX300.jpg","N/A","6.6","639","tt5460508","movie","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","True"
"4674","Der geilste Tag","2016","N/A","25 Feb 2016","113 min","N/A","Florian David Fitz","Florian David Fitz","Matthias Schweighöfer, Florian David Fitz, Rainer Bock, Nora Boeckler","Andi and Beno are terminally ill, but before it comes to an end for both, they still want to experience the hottest day.","German","Germany","N/A","https://images-na.ssl-images-amazon.com/images/M/MV5BMTUwMzE5MzcxOF5BMl5BanBnXkFtZTgwMTQxMTE5NzE@._V1_SX300.jpg","N/A","6.5","1,437","tt5154896","movie","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","True"
"4675","Born to Win","2016","N/A","06 May 2016","95 min","Comedy","Vicente Villanueva","Vicente Villanueva","Alexandra Jiménez, Cristina Castaño, Victoria Abril, Trinidad Iglesias","Encarna is a thirtysomething girl of Móstoles (Madrid) trapped in a life without changes, at the side of her lifelong boyfriend and with a job absent of incentives. Stigmatized by the ...","Spanish","Spain","N/A","https://images-na.ssl-images-amazon.com/images/M/MV5BNWJkZTgxNjQtMTUzZS00MzY5LTgzMjgtNzJjZTA5ODQyZDgzXkEyXkFqcGdeQXVyNjU1MDMxNDE@._V1_SX300.jpg","N/A","4.6","121","tt4508542","movie","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","2","http://www.rottentomatoes.com/m/nacida_para_ganar/","N/A","N/A","N/A","N/A","True"
"4676","Kali","2016","N/A","01 Apr 2016","115 min","Action, Thriller","Sameer Thahir","Rajesh Gopinadhan","Dulquer Salmaan, Sai Pallavi, Vinayakan, Chemban Vinod Jose","A young wife hopes to convince her husband to change his short-tempered attitude toward life, but an incident on a remote highway may finally decide the matter.","Malayalam","India","N/A","https://images-na.ssl-images-amazon.com/images/M/MV5BYzNjNTBkY2ItNjcwNi00ZTdhLWFhY2YtYmY4YTc2Mjg5NTBjXkEyXkFqcGdeQXVyMjkxNzQ1NDI@._V1_SX300.jpg","N/A","6.9","1,209","tt5335128","movie","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","True"
"4677","Dark Resonance","2016","N/A","N/A","90 min","Sci-Fi","Jerry Keys","Angela Dubois, Jerry Keys","Robert C. Treveiler, Lacy Camp, Johanna Jowett, Graham Hunt","Synopsis DARK RESONANCE Written by: Jerry Keys and Angela DuBois This is the story of the reunion of Eric...","English","USA","N/A","http://ia.media-imdb.com/images/M/MV5BMTQ0MTUyNTgxN15BMl5BanBnXkFtZTgwMzMzNDgxNDE@._V1_SX300.jpg","N/A","N/A","N/A","tt4379630","movie","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0","http://www.rottentomatoes.com/m/dark_resonance_2016/","N/A","N/A","N/A","N/A","True"
"4678","Nosferatu","2016","N/A","31 Oct 2016","N/A","Horror","David Lee Fisher","N/A","Eddie Allen, Sarah Carter, Sarah Carter, Emrhys Cooper","N/A","English","USA","N/A","https://images-na.ssl-images-amazon.com/images/M/MV5BNDZjMGMyMjYtMzFjMi00MTJjLWE2MTQtOTE4ZTBkN2ZlNjNkXkEyXkFqcGdeQXVyNjQzNDgxMzM@._V1_SX300.jpg","N/A","N/A","N/A","tt5574078","movie","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","True"
"4679","Kamasutra 3D","2016","N/A","19 Aug 2016","110 min","Drama, Romance","Rupesh Paul","Rupesh Paul (screenplay)","Andria Dsouza, Sushmita Mukherjee, Sherlyn Chopra, Makrand Deshpande","Set in the backdrop of the ancient, Kamasutra 3D is the journey of a soulful love embodied with betrayal and war. It weaves the trans formative changes in body, mind and soul by the ...","Hindi, English","USA, India","N/A","http://ia.media-imdb.com/images/M/MV5BYzE1M2QxMTItMTRiMS00MWI0LWFiOTUtZDUyNmY4OGFlZjJmXkEyXkFqcGdeQXVyNDUzOTQ5MjY@._V1_SX300.jpg","N/A","6.1","261","tt2527238","movie","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","21","http://www.rottentomatoes.com/m/kamasutra_3d/","N/A","N/A","N/A","N/A","True"
"4680","Caged No More","2016","PG-13","22 Jan 2016","90 min","Action, Drama, Thriller","Lisa Arnold","Lisa Arnold, Molly Venzke (story), Molly Venzke","Cynthia Gibb, Kevin Sorbo, Debra Wilson, Loretta Devine","Inspired by real events, CAGED NO MORE is the story of Aggie Prejean, a grandmother on a desperate search to find her two granddaughters, Skye and Elle, who have been kidnapped by their ...","English","USA, Greece","1 win.","https://images-na.ssl-images-amazon.com/images/M/MV5BNDI4MzA0MjUwOV5BMl5BanBnXkFtZTgwMDk5MzA1NzE@._V1_SX300.jpg","N/A","5.2","149","tt4104354","movie","N/A","N/A","N/A","N/A","N/A","N/A","N/A","71","4.0","146","http://www.rottentomatoes.com/m/caged_no_more/","07 Jun 2016","N/A","Check the Gate Productions","http://www.cagednomoremovie.com/","True"
"4681","One Simple Idea","2016","N/A","01 Dec 2016","N/A","Action, Crime, Drama","Dionisis Kotoulas, Konstantinos Pappas","Pappas Konstantinos, Dionisis Kotoulas","Dionisis Kotoulas, Pappas Konstantinos, Karadimou Maria, Karafoulidis Euaggelos","Two friends loan money from a loan shark. Those money were stolen and they try to find a solution to their problem.","Greek","Greece","N/A","http://ia.media-imdb.com/images/M/MV5BYzY0MGMzNGItODFlNi00MDU4LTlkYTItMWNiNjQxZWU3YjM1XkEyXkFqcGdeQXVyNDI4NjEyMDI@._V1_SX300.jpg","N/A","N/A","N/A","tt4961842","movie","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","True"
"4682","Akira","2016","N/A","06 May 2016","134 min","Drama, Romance","G. Naveen Reddy","G. Naveen Reddy (story), G. Naveen Reddy (screenplay), G. Naveen Reddy (dialogue), V. Nagendra Prasad (lyricist), G. Naveen Reddy (lyricist)","Aneesh Tejeshwar, Adithi Rao, Krishi Thapanda, Avinash","The film revolves around Akira, who is reminiscing his life, his trysts with love and how he turned out to be the responsible man that his businessman father he eventually wanted to be.","Kannada","India","N/A","https://images-na.ssl-images-amazon.com/images/M/MV5BYjRkZjFhNmEtNTliYy00ZDk4LTg2YTYtOWMyNzFjYWIwMDIwXkEyXkFqcGdeQXVyNTE0NDY5Njc@._V1_SX300.jpg","N/A","6.0","13","tt5700962","movie","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","True"
"4683","Giganthropithicus","2015","N/A","N/A","N/A","Sci-Fi","N/A","Timothy Marlowe","Patrick Muldoon, Aleks Paunovic, Kristopher Van Varenberg","The First Peoples revere nature but are cautious of it, because they know of its spirit world protector. They remind their children when the hairs on their arms raise it is the unseen ...","N/A","USA","N/A","N/A","N/A","N/A","N/A","tt3858622","movie","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","True"
"4684","Aynabaji","2016","N/A","30 Sep 2016","144 min","Crime, Mystery, Thriller","Amitabh Reza Chowdhury","Syed Gaosul Alam Shaon (story), Anam Biswas (dialogue), Adnan Adib Khan (dialogue), Anam Biswas (screenplay), Syed Gaosul Alam Shaon (screenplay)","Chanchal Chowdhury, Masuma Rahman Nabila, Bijori Barkatullah, Partho Barua","Ayna is an actor and the prison is his stage. He slips into the characters of the powerful convicted in exchange of money and take their place in prison. This strange profession is borne ...","Bengali","Bangladesh","N/A","https://images-na.ssl-images-amazon.com/images/M/MV5BMmVmYWFkYWMtOThhZC00Y2VkLTkyNjMtYTBkNmE2ZTNlNmQzXkEyXkFqcGdeQXVyNjMxNjgwOTk@._V1_SX300.jpg","N/A","9.7","14,214","tt5354160","movie","N/A","N/A","N/A","N/A","N/A","N/A","N/A","95","4.6","33","http://www.rottentomatoes.com/m/aynabaji","N/A","N/A","N/A","N/A","True"
"4685","Eye Digress","2016","N/A","07 Feb 2016","N/A","Comedy","Stephen Cookson","Stephen Cookson, Falcon Fields, Timothy Spall","Timothy Spall","A man who has been stuck in prison for far too long starts to see hallucinations.","English","UK","N/A","N/A","N/A","N/A","N/A","tt4400784","movie","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","True"
"4686","About Us","2016","N/A","05 May 2016","87 min","Comedy, Drama, Romance","Hernan Jimenez","Hernan Jimenez, Hernan Jimenez","Hernan Jimenez, Noelia Castaño, Marina Glezer","Diego, a hopeless romantic desperately trying to salvage his relationship with long time girlfriend Sofía, plans a beach getaway to propose and clear the air. A 'chance' encounter with ...","Spanish","Costa Rica, USA","N/A","https://images-na.ssl-images-amazon.com/images/M/MV5BYTg2ODU4NDItMmFjZC00YjUyLWI2N2QtMjljZWMyNzVjMmViXkEyXkFqcGdeQXVyNDc1MDExNzQ@._V1_SX300.jpg","N/A","7.4","92","tt4876286","movie","N/A","N/A","N/A","N/A","N/A","N/A","N/A","33","3.2","9","http://www.rottentomatoes.com/m/entonces_nosotros/","N/A","N/A","N/A","N/A","True"
"4687","Heaven's Floor","2014","N/A","N/A","88 min","Adventure, Drama, Family","Lori Stoll","Lori Stoll, Lori Stoll","Clea DuVall, Timothy V. Murphy, Nicole Sullivan, Toby Huss","Julia, a Los Angeles photographer, journeys to the Canadian arctic. Her whimsical trip becomes a life threatening disaster. Julia, abandoned ill equipped, and stranded on sea ice is rescued...","English","Canada, USA","N/A","http://ia.media-imdb.com/images/M/MV5BMjA1MzIwOTQwMV5BMl5BanBnXkFtZTgwOTM4NDEzNDE@._V1_SX300.jpg","N/A","N/A","N/A","tt3606726","movie","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","1","http://www.rottentomatoes.com/m/heavens_floor/","N/A","N/A","N/A","N/A","True"
"4688","Jacob and I","2016","N/A","N/A","109 min","Drama","Rebecca Rian","Rebecca Rian","Finn Douglas","Amelia and Oliver Parker have lost their son. Not in the normal circumstance that may require the police, but in a way that required planning a funeral. This is the emotional, inspiring, ...","English","UK","N/A","http://ia.media-imdb.com/images/M/MV5BMTgxNDU5MzUyMV5BMl5BanBnXkFtZTgwNTY2MjM5NDE@._V1_SX300.jpg","N/A","N/A","N/A","tt4512278","movie","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","True"
"4689","Offline - Das Leben ist kein Bonuslevel","2016","N/A","19 Jan 2016","N/A","Comedy","Florian Schnell","N/A","Mala Emde, Moritz Jahn, David Schütter, Hannes Wegener","N/A","German","Germany","N/A","N/A","N/A","N/A","N/A","tt5351044","movie","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","True"
"4690","Red Curtain Hell","2016","N/A","N/A","N/A","Comedy","Shane Anderson","Shane Anderson (story), Kieran Davey (story), Shane Anderson","Darrell Plumridge, Rita Artmann, Chris Charteris, Sean Dennehy","Set in real-time over the opening night of a troubled production of Hamlet: a cast of narcissistic actors, incompetent stage-crew and a megalomaniac director collide behind-the-scenes of ...","English","Australia","N/A","N/A","N/A","N/A","N/A","tt5273706","movie","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","True"
"4691","One Kiss","2016","UNRATED","31 Mar 2016","102 min","Drama","Ivan Cotroneo","Ivan Cotroneo (story), Ivan Cotroneo (screenplay), Monica Rametta (screenplay)","Rimau Ritzberger Grillo, Valentina Romani, Leonardo Pazzagli, Simonetta Solder","The story of three teenager friends not accepted by their peers.","Italian","Italy","2 wins & 3 nominations.","https://images-na.ssl-images-amazon.com/images/M/MV5BMWEwZDNjNWItMWQxYy00MWJmLWI4NzUtZWNlNTNkZmY5YzliXkEyXkFqcGdeQXVyMDQ0NjgyNA@@._V1_SX300.jpg","N/A","6.8","173","tt5436082","movie","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","5","http://www.rottentomatoes.com/m/un_bacio/","N/A","N/A","N/A","N/A","True"
"4692","Azhar","2016","N/A","13 May 2016","130 min","Biography, Drama, Sport","Anthony D'Souza","Rajat Arora","Emraan Hashmi, Nargis Fakhri, Prachi Desai, Lara Dutta","Biographical sports drama based on the life of former Indian international cricketer, Mohammad Azharuddin.","Hindi, Urdu","India","N/A","https://images-na.ssl-images-amazon.com/images/M/MV5BZjdiNjI1NWItZmJiOC00MWVjLThhNmMtMzIyZGU5NjdjMmE0XkEyXkFqcGdeQXVyMjUxMTY3ODM@._V1_SX300.jpg","N/A","5.9","3,825","tt4906984","movie","N/A","N/A","N/A","N/A","N/A","N/A","N/A","43","3.2","91","http://www.rottentomatoes.com/m/azhar/","N/A","N/A","Balaji Motion Pictures","N/A","True"
"4693","Headshot","2016","N/A","04 Jul 2016","N/A","Action","Kimo Stamboel, Timo Tjahjanto","Timo Tjahjanto","Iko Uwais, Julie Estelle, Very Tri Yulisman, Sunny Pang","Uwais plays a young man who washes ashore, an amnesiac with a serious head injury whose past comes back to haunt him shortly after being nursed back to health by a young doctor. Violence ensues. Sweet, sweet violence.","Indonesian","Indonesia","N/A","http://ia.media-imdb.com/images/M/MV5BOGZjOWVjZmQtNzM3Mi00NWNlLTkxYWEtNDhlNWMxMTliOWU1XkEyXkFqcGdeQXVyMjgzNTIwNDg@._V1_SX300.jpg","N/A","10.0","9","tt5147214","movie","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","True"
"4694","Countdown","2016","R","05 Apr 2016","90 min","Action, Crime, Mystery","John Stockwell","Michael Finch, Richard Wenk","Nic Nemeth, Glenn Jacobs, Katharine Isabelle, Josh Blacker","When a madman kidnaps a young boy and rigs him with explosives, Ray defies his captain and takes matter into his own hands. Now he must beat the clock and save the innocent child.","English","USA","N/A","https://images-na.ssl-images-amazon.com/images/M/MV5BMTg4MTUxMjU5OF5BMl5BanBnXkFtZTgwNTAyMDA5NzE@._V1_SX300.jpg","N/A","5.0","803","tt4872162","movie","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","True"
"4695","Everybody Wants Some!!","2016","R","07 Apr 2016","117 min","Comedy","Richard Linklater","Richard Linklater","Blake Jenner, Juston Street, Ryan Guzman, Tyler Hoechlin","In 1980, a group of college baseball players navigate their way through the freedoms and responsibilities of unsupervised adulthood.","English","USA","1 win & 6 nominations.","https://images-na.ssl-images-amazon.com/images/M/MV5BMTk2NDcyNDE5N15BMl5BanBnXkFtZTgwNDA0MzQ1NzE@._V1_SX300.jpg","83","7.1","27,859","tt2937696","movie","86","certified","7.6","198","171","27","Nostalgic in the best sense, Everybody Wants Some!! finds Richard Linklater ambling through the past with a talented cast, a sweetly meandering story, and a killer classic rock soundtrack.","69","3.6","14568","http://www.rottentomatoes.com/m/thats_what_im_talking_about/","12 Jul 2016","N/A","Paramount Pictures","http://www.everybodywantssomemovie.com/","True"
"4696","Beyond Sleep","2016","N/A","11 Feb 2016","108 min","Drama","Boudewijn Koole","Willem Frederik Hermans (novel), Boudewijn Koole","Reinout Scholten van Aschat, Jakop Ahlbom, Maria Annette Tanderø Berglyd, Anders Baasmo Christiansen","A young geologist ventures out into the vast tundra of northern Norway to finish his research on meteorite craters, only to get hopelessly lost in both the wilderness and his own mind.","Norwegian, English, Dutch","Netherlands, Norway","2 wins & 8 nominations.","https://images-na.ssl-images-amazon.com/images/M/MV5BMmJhNDIxNDctZWU3My00ZmQxLWE5MGQtZDdkMzJlYjcxODk2XkEyXkFqcGdeQXVyNjUwMjQ2MDc@._V1_SX300.jpg","N/A","6.6","267","tt4075458","movie","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","True"
"4697","Cyborg X","2016","N/A","N/A","90 min","Action, Horror","K. King","K. King","Eve Mauro, Danny Trejo, Rocky Myers, Adam Johnson","After X-Corp, a radical weapons manufacturer, is taken over by a Cyber Virus, a group of survivors must fight to save humanity from the army of Machines the Virus now controls.","English","USA","N/A","https://images-na.ssl-images-amazon.com/images/M/MV5BMTgyNDkzNjA0OV5BMl5BanBnXkFtZTgwMTM1Mzc0OTE@._V1_SX300.jpg","N/A","5.9","722","tt3899262","movie","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","3","http://www.rottentomatoes.com/m/cyborg_x","N/A","N/A","N/A","N/A","True"
"4698","Jonathan Duffy: Not Quite Live From Reykjavík","2016","N/A","N/A","60 min","Comedy","Jonathan Duffy","Nazar Davidoff, Jonathan Duffy, Þórhallur Þórhallson","Anton Ameneiro-Álvarez, Nino DiGa, Helgi Steinar Gunnlaugsson, Gísli Jóhann","A one hour comedy special that combines stand up, sketch comedy and musical comedy with a gay theme.","English","Iceland","N/A","N/A","N/A","N/A","N/A","tt5497896","movie","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","True"
"4699","Onda su onda","2016","N/A","18 Feb 2016","N/A","Comedy","Rocco Papaleo","Walter Lupo, Rocco Papaleo, Federica Pontremoli","Luz Cipriota, Alessandro Gassman, Rocco Papaleo","Gegè and Ruggero are two under appreciated artists which meet each other while traveling to Montevideo, where Gegè will give a concert. They hate each other, but such hate is destined to ...","Italian","Italy","N/A","https://images-na.ssl-images-amazon.com/images/M/MV5BMGU0ZTlhMjktYjdhMC00MzZhLTlkMmItY2U4M2I2MmMxY2FjXkEyXkFqcGdeQXVyMzQ4MDQ4ODc@._V1_SX300.jpg","N/A","5.5","71","tt4932286","movie","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0","http://www.rottentomatoes.com/m/onda_su_onda","N/A","N/A","N/A","N/A","True"
"4700","Agonie","2015","N/A","N/A","N/A","N/A","David Clay Diaz","N/A","Samuel Schneider, Boris Popovic","N/A","German","Austria","N/A","N/A","N/A","N/A","N/A","tt4217446","movie","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","True"
"4701","Hunt for the Wilderpeople","2016","PG-13","31 Mar 2016","101 min","Adventure, Comedy, Drama","Taika Waititi","Taika Waititi (screenplay), Barry Crump (based on the book by)","Sam Neill, Julian Dennison, Rima Te Wiata, Rachel House","A national manhunt is ordered for a rebellious kid and his foster uncle who go missing in the wild New Zealand bush.","English","New Zealand","13 wins & 10 nominations.","https://images-na.ssl-images-amazon.com/images/M/MV5BMjI1MDQ2MDg5Ml5BMl5BanBnXkFtZTgwMjc2NjM5ODE@._V1_SX300.jpg","81","7.9","30,983","tt4698684","movie","97","certified","7.9","168","163","5","The charmingly offbeat Hunt for the Wilderpeople unites a solid cast, a talented filmmaker, and a poignant, funny, deeply affecting message.","91","4.3","20905","http://www.rottentomatoes.com/m/hunt_for_the_wilderpeople/","27 Sep 2016","$5,202,582.00","N/A","N/A","True"
"4702","News from Planet Mars","2016","N/A","09 Mar 2016","101 min","Comedy","Dominik Moll","Gilles Marchand (screenplay), Dominik Moll (screenplay)","François Damiens, Vincent Macaigne, Veerle Baetens, Jeanne Guittet","Philippe Mars is a pleasant 40-something whose meeting with a psychotic college friend who is in search of love profoundly changes his life.","French","France, Belgium","N/A","https://images-na.ssl-images-amazon.com/images/M/MV5BMzY1MWM0NjAtZjJkNi00YWJmLTg4MjYtNTJiOWRmZjM4MDY5XkEyXkFqcGdeQXVyMTY4Mjk3MzE@._V1_SX300.jpg","N/A","6.4","415","tt5038358","movie","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","True"
"4703","Three point 2","2016","N/A","01 Jan 2016","75 min","Action, Sci-Fi","Jay Pickens","Jay Pickens","Regina Avshalumova, Yamit Capdevila, Ashna Cora, Nichole Craig","In the 21st century an extra terrestrial race known as the Ahvalinha sent an energy source 'The Talao' or Treasure in the hope of helping humanity find it's way. It was the third time.... It would be the last","English","USA, Canada","N/A","http://ia.media-imdb.com/images/M/MV5BNjgwMzAwOGItMDI4MS00YzEyLThkZTUtN2I1MTVhZjYyNDYwXkEyXkFqcGdeQXVyMzc1OTQ2ODY@._V1_SX300.jpg","N/A","N/A","N/A","tt5597154","movie","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","True"
"4704","Maquinaria Panamericana","2016","N/A","06 Mar 2016","90 min","Comedy, Drama","Joaquin del Paso","Joaquin del Paso (screenplay), Lucy Pawlak (screenplay)","Javier Zaragoza, Ramiro Orozco, Irene Ramirez, Edmundo Mosqueira","It's Friday morning at Pan American Machinery Inc., a company specializing in selling and repairing machines for construction and destruction. The employees are already winding down for the...","Spanish","Mexico, Poland","N/A","http://ia.media-imdb.com/images/M/MV5BYzFlOTI2NzUtZmFjOC00NDQwLTlhOWQtMGI1MGRkNmRiMjE2XkEyXkFqcGdeQXVyMjY0OTkyOTU@._V1_SX300.jpg","N/A","7.5","12","tt4432980","movie","100","fresh","0.0","5","5","0","N/A","86","4.1","8","http://www.rottentomatoes.com/m/maquinaria_panamericana","N/A","N/A","N/A","N/A","True"
"4705","Operation Avalanche","2016","R","16 Sep 2016","94 min","Thriller","Matt Johnson","Josh Boles, Matt Johnson","Matt Johnson, Owen Williams, Josh Boles, Jared Raab","In 1967, four undercover CIA agents were sent to NASA posing as a documentary film crew. What they discovered led to one of the biggest conspiracies in American history.","English","USA","2 wins & 6 nominations.","https://images-na.ssl-images-amazon.com/images/M/MV5BMTYxMTQ4NDk0NF5BMl5BanBnXkFtZTgwNDIxMzk2NzE@._V1_SX300.jpg","69","6.1","1,964","tt3776826","movie","69","fresh","6.4","51","35","16","N/A","62","3.4","1519","http://www.rottentomatoes.com/m/operation_avalanche/","N/A","N/A","N/A","N/A","True"
"4706","Watch Them Fall","2015","N/A","N/A","90 min","Drama, Thriller","Kristoph Tassin","Kristoph Tassin (story), Giorgio Fabbri (storyline consultant), Massimo Vavassori (collaboration), Kristoph Tassin, Nicola Lucchi (collaboration), Giulia Anita Bari (contributing writer)","Marco Bocci, Chiara Bassermann, Gaia Scodellaro, Greta Scarano","Marti is a famous war photographer, but he was badly wounded during his last working trip to Syria and, after that, he is no longer the same. He suffers from severe depression, he's ...","English","Italy, Morocco, USA","N/A","N/A","N/A","N/A","N/A","tt3017010","movie","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","True"
"4707","Evil Exhumed","2016","NOT RATED","01 Jun 2016","76 min","Horror","David DeCoteau","David DeCoteau","Aisling Goodman, James Drew Dean, Caz Odin Darko, Jayden Holman","A young man hell bent on revenge uses dark forces to reanimate a recently unearthed mummy.","English","Canada","N/A","https://images-na.ssl-images-amazon.com/images/M/MV5BNGZlMTA0ZjYtYzI5YS00MGMyLTliYTctNjkzMGI2MzM5MTBmXkEyXkFqcGdeQXVyMjE5MjMxMzA@._V1_SX300.jpg","N/A","2.6","49","tt5311056","movie","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","True"
"4708","Power Rangers: Zenith","2016","N/A","01 Sep 2016","80 min","Action, Fantasy, Sci-Fi","Emmanuel Carter","Emmanuel Carter (screenplay), Emmanuel Carter, Ransom Pugh","Patrick Higgs, Kristine Renee Farley, Blaise Nally, Emmanuel Carter","This is an unofficial non-profit re-telling of a classic story in the Mighty Morphin' Power Rangers: specifically, the 'Green with Evil' saga.","English","USA","N/A","http://ia.media-imdb.com/images/M/MV5BMjZlMTgzYjEtZTY4MS00OTlkLThmZjktYzJlMGI5MDFmMTUzXkEyXkFqcGdeQXVyNjMzNjM2NDQ@._V1_SX300.jpg","N/A","N/A","N/A","tt5171598","movie","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","True"
"4709","The Next Skin","2016","N/A","21 Oct 2016","103 min","Drama, Thriller","Isa Campo, Isaki Lacuesta","Isa Campo, Isaki Lacuesta, Fran Araújo","Emma Suárez, Sergi López, Àlex Monner, Greta Fernández","A teenager who went missing and was presumed dead returns home after eight years to find a family deeply affected by his disappearance. Gradually, doubts arise about whether he really is the missing boy or an impostor.","Catalan, French, Spanish","Spain, Switzerland","7 wins & 2 nominations.","https://images-na.ssl-images-amazon.com/images/M/MV5BYjMyMmQ5ZjUtYzk5Mi00ZGUzLWEwODgtYmRkZjZjN2ZjN2QzXkEyXkFqcGdeQXVyMTA0MjU0Ng@@._V1_SX300.jpg","N/A","7.2","156","tt4034208","movie","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","True"
"4710","Cast Off","2016","N/A","N/A","20 min","Drama","Sandrine Brodeur-Desrosiers","Sandrine Brodeur-Desrosiers","Marc Fournier, Marie-Michelle Garon, Estelle Fournier, Kelly Provencher","Simon has to leave the island on which he lives to go to boarding school. One day he plays with his sister and finds a beached little wooden boat. Through his attempts to repair it he will accept, or not, to cast off.","French","Canada","N/A","http://ia.media-imdb.com/images/M/MV5BZjVlMjU1ZGUtYzdlOS00MmIxLThkMTctYTYyZjRhZjkwNGQ5XkEyXkFqcGdeQXVyNTAxMTc5NDE@._V1_SX300.jpg","N/A","N/A","N/A","tt5624452","movie","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","True"
